Label,F1 Score,Recall,Precision
-1.0,0.3287671232876712,0.24,0.5217391304347826
1.0,0.6141732283464567,0.78,0.5064935064935064
Micro,0.51,0.51,0.51
Macro,0.47147017581706396,0.51,0.5141163184641445
Weighted,0.4714701758170639,0.51,0.5141163184641445
