Label,F1 Score,Recall,Precision
-1.0,0.6666666666666666,1.0,0.5
1.0,0.0,0.0,0.0
Micro,0.5,0.5,0.5
Macro,0.3333333333333333,0.5,0.25
Weighted,0.33333333333333326,0.5,0.25
