Label,F1 Score,Recall,Precision
-1.0,0.32,0.24,0.48
1.0,0.592,0.74,0.49333333333333335
Micro,0.49,0.49,0.49
Macro,0.45599999999999996,0.49,0.4866666666666667
Weighted,0.45599999999999996,0.49,0.4866666666666667
